contact_id,surname,name,phone,comment
1,Воробьев,Иван,89174562398,рабочий
2,Васильева,Дарья,89175476321,врач
3,Петров ,Сергей,456123,ремонт техники
4,Кузнецов,Марат,89541234578,банк
5,Лимонов ,Лимон,89541214569,фрукты
6,Сидоров,Сергей, 89564561288,врач
7,Поляков,Николай,564923,метеоролог
8,Куркин,Митя,564936,рабочий
9,Карасёв,Иван,567845,рыба
10,Мировой,Лев,8917777777,дзюдо
11,Кошкина,Валентина,89154652354,учитель
12,Петрова,Ольга Николаевна,8956451236,английский
13,Косолапов,Михайл ,564923,стоматолог
14,Капустин,Ким,89561234566,сосед
15,Шишкин,Павел,564578,юрист
16,Романова,Оксана Владимировна,8923445566,французский язык
17,123,321,2568,5899
18,Иванов,Иван,79998887744,Одноклассник
19,Сидоров,Сергей,78887775522,Одногрупник
20,Петров,Петр,75554443322,Мимо проходил
